31.237872/121.470259,31.237872,121.470259
31.246946/121.513919,31.246946,121.513919
31.232877/121.48753,31.232877,121.48753
31.227933/121.45361,31.227933,121.45361
31.235682/121.487831,31.235682,121.487831
31.251358/121.485526,31.251358,121.485526
31.244229/121.475231,31.244229,121.475231
31.23936/121.488752,31.23936,121.488752
31.244859/121.489305,31.244859,121.489305
31.23543/121.447652,31.23543,121.447652
31.239655/121.478097,31.239655,121.478097
31.228014/121.477667,31.228014,121.477667
31.328545/121.538592,31.328545,121.538592
31.234259/121.52572,31.234259,121.52572
31.229094/121.480266,31.229094,121.480266
31.232518/121.465177,31.232518,121.465177
31.225207/121.452948,31.225207,121.452948
31.242893/121.465382,31.242893,121.465382
31.240874/121.518086,31.240874,121.518086
31.217516/121.452872,31.217516,121.452872
31.228017/121.444777,31.228017,121.444777
31.221325/121.448881,31.221325,121.448881
31.23271/121.455345,31.23271,121.455345
31.236138/121.463199,31.236138,121.463199
31.225275/121.47164,31.225275,121.47164
31.24143/121.475172,31.24143,121.475172
31.232857/121.475333,31.232857,121.475333
31.228726/121.482748,31.228726,121.482748
31.236381/121.484201,31.236381,121.484201
31.242514/121.493696,31.242514,121.493696
31.233516/121.491431,31.233516,121.491431
31.22622/121.506261,31.22622,121.506261,
31.223981/121.478274,31.223981,121.478274,
31.224117/121.4732,31.224117,121.4732,
31.256071/121.462096,31.256071,121.462096,
31.237435/121.455917,31.237435,121.455917,
31.236009/121.478941,31.236009,121.478941,
31.224552/121.482535,31.224552,121.482535,
31.200811/121.444401,31.200811,121.444401,
31.166058/121.403691,31.166058,121.403691,
31.228047/121.425893,31.228047,121.425893,
31.224154/121.43807,31.224154,121.43807,
31.229071/121.452449,31.229071,121.452449,
31.234499/121.463079,31.234499,121.463079,
31.242867/121.490229,31.242867,121.490229,
31.244555/121.5099,31.244555,121.5099,
31.236828/121.514196,31.236828,121.514196,
31.234796/121.533464,31.234796,121.533464,
31.224126/121.547664,31.224126,121.547664,
31.221777/121.558508,31.221777,121.558508,
31.207247/121.572933,31.207247,121.572933,
31.242837/121.455083,31.242837,121.455083,
31.233452/121.480931,31.233452,121.480931,
31.222609/121.378494,31.222609,121.378494,
31.234867/121.46325,31.234867,121.46325,
31.240453/121.511773,31.240453,121.511773,
31.243974/121.555758,31.243974,121.555758,
31.235043/121.523389,31.235043,121.523389,
31.213903/121.410198,31.213903,121.410198,
31.256232/121.498254,31.256232,121.498254,
31.25563/121.508513,31.25563,121.508513,
31.247009/121.47942,31.247009,121.47942,
31.242365/121.503571,31.242365,121.503571,
31.245624/121.522839,31.245624,121.522839,
31.235072/121.518805,31.235072,121.518805,
31.240478/121.526884,31.240478,121.526884,
31.240601/121.442307,31.240601,121.442307,
31.233984/121.524823,31.233984,121.524823,
31.241762/121.50497,31.241762,121.50497,
31.24478/121.505751,31.24478,121.505751,
31.228627/121.480756,31.228627,121.480756,
31.242584/121.449606,31.242584,121.449606,
31.230395/121.46599,31.230395,121.46599,
31.241014/121.48529,31.241014,121.48529,
31.239454/121.46057,31.239454,121.46057,
31.233674/121.498294,31.233674,121.498294,
31.236177/121.493181,31.236177,121.493181,
31.235177/121.451385,31.235177,121.451385,
31.255256/121.500499,31.255256,121.500499,
31.223004/121.465956,31.223004,121.465956,
31.240013/121.487148,31.240013,121.487148,
31.241577/121.485099,31.241577,121.485099,
31.234496/121.521516,31.234496,121.521516,
31.240806/121.481992,31.240806,121.481992,
31.229057/121.452254,31.229057,121.452254,
31.159523/121.435774,31.159523,121.435774,
31.230363/121.5056,31.230363,121.5056,
31.263495/121.496653,31.263495,121.496653,
31.235154/121.533056,31.235154,121.533056,
31.18078/121.423677,31.18078,121.423677,
31.251161/121.489743,31.251161,121.489743,
31.283289/121.510576,31.283289,121.510576,
31.275801/121.484797,31.275801,121.484797,
31.261655/121.474716,31.261655,121.474716,
31.258656/121.472538,31.258656,121.472538,
31.248715/121.481228,31.248715,121.481228,
31.24256/121.490511,31.24256,121.490511,
31.188514/121.49841,31.188514,121.49841,
31.178033/121.487803,31.178033,121.487803,
31.244292/121.495265,31.244292,121.495265,
31.237635/121.476519,31.237635,121.476519,
31.240686/121.480699,31.240686,121.480699,
31.168125/121.503534,31.168125,121.503534,
31.180581/121.527653,31.180581,121.527653,
31.230277/121.448573,31.230277,121.448573,
31.241223/121.45891,31.241223,121.45891,
31.251619/121.486701,31.251619,121.486701,
31.246573/121.509144,31.246573,121.509144,
31.228927/121.486896,31.228927,121.486896,
31.240412/121.45723,31.240412,121.45723,
31.225266/121.444323,31.225266,121.444323,
31.248195/121.490929,31.248195,121.490929,
31.227165/121.480195,31.227165,121.480195,
31.240869/121.481603,31.240869,121.481603,
31.257123/121.503291,31.257123,121.503291,
31.223665/121.458791,31.223665,121.458791,
31.217372/121.460724,31.217372,121.460724,
31.234225/121.525481,31.234225,121.525481,
31.250734/121.487731,31.250734,121.487731,
31.231585/121.517218,31.231585,121.517218,
31.243738/121.486223,31.243738,121.486223,
31.238561/121.455041,31.238561,121.455041,
31.227762/121.495598,31.227762,121.495598,
31.233644/121.525549,31.233644,121.525549,
31.251584/121.4917,31.251584,121.4917,
31.230748/121.485488,31.230748,121.485488,
41.677262/125.960124,41.677262,125.960124,
31.245242/121.479617,31.245242,121.479617,
31.206958/121.591146,31.206958,121.591146,
31.214719/121.624972,31.214719,121.624972,
31.154675/121.81374,31.154675,121.81374,
30.963494/121.160188,30.963494,121.160188,
31.232853/121.486408,31.232853,121.486408,
31.215428/121.660427,31.215428,121.660427,
31.249918/121.47846,31.249918,121.47846,
31.242261/121.507912,31.242261,121.507912,
31.243463/121.4907,31.243463,121.4907,
31.238593/121.450062,31.238593,121.450062,
31.25079/121.48933,31.25079,121.48933,
31.240561/121.459431,31.240561,121.459431,
31.234688/121.502656,31.234688,121.502656,
31.252974/121.502684,31.252974,121.502684,
31.222119/121.454078,31.222119,121.454078,
31.228755/121.523626,31.228755,121.523626,
31.247955/121.495452,31.247955,121.495452,
31.25037/121.488549,31.25037,121.488549,
31.174053/121.282683,31.174053,121.282683,
31.127837/121.380654,31.127837,121.380654,
31.045101/121.223676,31.045101,121.223676,
31.140855/121.360032,31.140855,121.360032,
31.025763/121.541983,31.025763,121.541983,
31.147903/121.403379,31.147903,121.403379,
31.036404/121.272345,31.036404,121.272345,
31.025227/121.44251,31.025227,121.44251,
31.19232/121.142889,31.19232,121.142889,
31.099642/121.449578,31.099642,121.449578,
31.10888/121.390919,31.10888,121.390919,
31.157536/121.203337,31.157536,121.203337,
31.146522/121.352501,31.146522,121.352501,
31.021245/121.226791,31.021245,121.226791,
31.038964/121.2261,31.038964,121.2261,
31.131231/121.398758,31.131231,121.398758,
31.131416/121.429704,31.131416,121.429704,
31.143754/121.434357,31.143754,121.434357,
31.142941/121.443942,31.142941,121.443942,
31.111821/121.385462,31.111821,121.385462,
31.074013/121.407487,31.074013,121.407487,
31.042415/121.482986,31.042415,121.482986,
31.016895/121.42971,31.016895,121.42971,
31.002479/121.390889,31.002479,121.390889,
31.158843/121.127268,31.158843,121.127268,
31.178359/121.279284,31.178359,121.279284,
31.15228/121.118001,31.15228,121.118001,
31.120864/121.389141,31.120864,121.389141,
31.111396/121.379353,31.111396,121.379353,
31.012788/121.228073,31.012788,121.228073,
31.030657/121.236586,31.030657,121.236586,
46.247857/128.762232,46.247857,128.762232,
31.108792/121.061126,31.108792,121.061126,
31.114038/121.415096,31.114038,121.415096,
31.045068/121.232113,31.045068,121.232113,
31.129955/121.336848,31.129955,121.336848,
31.124501/121.32791,31.124501,121.32791,
31.011339/121.296295,31.011339,121.296295,
31.031459/121.300841,31.031459,121.300841,
31.084634/120.989297,31.084634,120.989297,
31.122623/121.433813,31.122623,121.433813,
31.141982/121.459872,31.141982,121.459872,
31.045834/121.408322,31.045834,121.408322,
31.015724/121.40907,31.015724,121.40907,
31.018176/121.418004,31.018176,121.418004,
31.038725/121.464203,31.038725,121.464203,
31.03333/121.427385,31.03333,121.427385,
31.044667/121.46191,31.044667,121.46191,
31.019533/121.388705,31.019533,121.388705,
31.128227/121.45441,31.128227,121.45441,
31.062583/121.44986,31.062583,121.44986,
24.284812/102.999068,24.284812,102.999068,
31.098558/121.377147,31.098558,121.377147,
31.102445/121.413911,31.102445,121.413911,
31.069757/121.399847,31.069757,121.399847,
31.137509/121.40768,31.137509,121.40768,
31.120714/121.42693,31.120714,121.42693,
31.106089/121.039819,31.106089,121.039819,
31.157362/121.221594,31.157362,121.221594,
30.982046/121.207872,30.982046,121.207872,
31.117005/121.271194,31.117005,121.271194,
31.124664/121.323455,31.124664,121.323455,
31.087306/121.275545,31.087306,121.275545,
31.06623/121.321933,31.06623,121.321933,
31.021462/121.321255,31.021462,121.321255,
31.009423/121.245898,31.009423,121.245898,
31.020065/121.23311,31.020065,121.23311,
31.038291/121.194794,31.038291,121.194794,
31.057696/121.207516,31.057696,121.207516,
31.071955/121.234457,31.071955,121.234457,
31.019982/121.244295,31.019982,121.244295,
31.011886/121.234971,31.011886,121.234971,
31.007327/121.431151,31.007327,121.431151,
31.005717/121.202014,31.005717,121.202014,
31.01217/121.265575,31.01217,121.265575,
31.040378/121.255563,31.040378,121.255563,
31.024911/121.255017,31.024911,121.255017,
31.08093/121.159291,31.08093,121.159291,
31.019691/121.249497,31.019691,121.249497,
31.015452/121.154814,31.015452,121.154814,
30.954604/121.333773,30.954604,121.333773,
31.142865/121.330843,31.142865,121.330843,
31.104981/121.360938,31.104981,121.360938,
31.096325/121.341209,31.096325,121.341209,
31.13756/121.339005,31.13756,121.339005,
31.077825/121.33981,31.077825,121.33981,
31.118723/121.248449,31.118723,121.248449,
31.134254/121.280533,31.134254,121.280533,
31.138371/121.416975,31.138371,121.416975,
31.115176/121.36579,31.115176,121.36579,
31.039155/121.241352,31.039155,121.241352,
31.116021/121.287621,31.116021,121.287621,
31.212113/121.444193,31.212113,121.444193,
31.1744/121.285083,31.1744,121.285083,
31.051731/121.423756,31.051731,121.423756,
31.050708/121.217094,31.050708,121.217094,
31.015959/121.227509,31.015959,121.227509,
30.996346/121.297687,30.996346,121.297687,
31.134484/121.42764,31.134484,121.42764,
30.893975/121.016922,30.893975,121.016922,
31.307215/121.486962,31.307215,121.486962,
30.893084/121.252519,30.893084,121.252519,
30.834815/121.197836,30.834815,121.197836,
30.796356/121.199264,30.796356,121.199264,
31.075231/121.436269,31.075231,121.436269,
31.105352/121.438535,31.105352,121.438535,
31.090076/121.406999,31.090076,121.406999,
31.012926/121.423939,31.012926,121.423939,
31.120753/121.381579,31.120753,121.381579,
31.150193/121.45419,31.150193,121.45419,
31.019246/121.250749,31.019246,121.250749,
31.147783/121.366475,31.147783,121.366475,
31.121152/121.141999,31.121152,121.141999,
31.007639/121.416247,31.007639,121.416247,
31.069261/121.375484,31.069261,121.375484,
31.130891/121.472384,31.130891,121.472384,
31.100465/121.401931,31.100465,121.401931,
31.10114/121.181649,31.10114,121.181649,
30.97533/121.271449,30.97533,121.271449,
31.054594/121.339133,31.054594,121.339133,
31.063923/121.353076,31.063923,121.353076,
31.066368/121.2082,31.066368,121.2082,
31.00153/121.235235,31.00153,121.235235,
31.035335/121.117893,31.035335,121.117893,
31.149628/121.43924,31.149628,121.43924,
31.121932/121.33481,31.121932,121.33481,
31.018376/121.40507,31.018376,121.40507,
31.080824/121.390896,31.080824,121.390896,
31.108876/121.345256,31.108876,121.345256,
31.04822/121.231928,31.04822,121.231928,
30.962059/121.244644,30.962059,121.244644,
31.087224/121.466989,31.087224,121.466989,
30.957104/121.146044,30.957104,121.146044,
31.121363/121.369095,31.121363,121.369095,
31.032565/121.409407,31.032565,121.409407,
30.939177/121.223182,30.939177,121.223182,
30.774911/121.259927,30.774911,121.259927,
31.113798/121.382691,31.113798,121.382691,
30.889117/121.317123,30.889117,121.317123,
31.163201/121.11139,31.163201,121.11139,
31.023331/121.315006,31.023331,121.315006,
31.038201/121.216468,31.038201,121.216468,
31.042348/121.28911,31.042348,121.28911,
31.030806/121.396875,31.030806,121.396875,
31.132785/121.413457,31.132785,121.413457,
31.095884/121.350551,31.095884,121.350551,
31.065995/121.314532,31.065995,121.314532,
31.010331/121.381275,31.010331,121.381275,
30.994999/121.264867,30.994999,121.264867,
31.099755/121.009542,31.099755,121.009542,
30.847557/121.226776,30.847557,121.226776,
31.048845/121.231719,31.048845,121.231719,
31.11794/121.457471,31.11794,121.457471,
31.057816/121.413943,31.057816,121.413943,
30.852446/121.262447,30.852446,121.262447,
31.054947/120.995325,31.054947,120.995325,
30.920347/121.057024,30.920347,121.057024,
30.894639/121.21016,30.894639,121.21016,
30.989121/121.127308,30.989121,121.127308,
31.130862/121.091425,31.130862,121.091425,
31.113159/121.06421,31.113159,121.06421,
31.17665/121.132941,31.17665,121.132941,
30.899117/121.175731,30.899117,121.175731,
31.07195/121.150279,31.07195,121.150279,
31.167279/121.113649,31.167279,121.113649,
31.148785/121.115114,31.148785,121.115114,
31.158515/121.1384,31.158515,121.1384,
31.171648/121.110276,31.171648,121.110276,
31.143297/121.132883,31.143297,121.132883,
31.119806/121.071074,31.119806,121.071074,
30.892415/121.023553,30.892415,121.023553,
30.795602/121.152307,30.795602,121.152307,
30.930023/121.011969,30.930023,121.011969,
31.018041/121.055413,31.018041,121.055413,
30.934254/121.279662,30.934254,121.279662,
31.259763/121.089338,31.259763,121.089338,
31.132602/121.095863,31.132602,121.095863,
31.105808/121.038742,31.105808,121.038742,
30.866409/121.188512,30.866409,121.188512,
30.879349/121.094749,30.879349,121.094749,
31.159536/121.1442,31.159536,121.1442,
30.867598/121.198612,30.867598,121.198612,
31.154875/121.131226,31.154875,121.131226,
31.165389/121.119468,31.165389,121.119468,
30.889377/121.176142,30.889377,121.176142,
31.16691/121.115166,31.16691,121.115166,
31.048503/121.141872,31.048503,121.141872,
31.219455/121.098597,31.219455,121.098597,
30.938138/121.327668,30.938138,121.327668,
30.935029/121.186594,30.935029,121.186594,
30.814394/121.18284,30.814394,121.18284,
30.898595/121.030128,30.898595,121.030128,
30.898527/121.22367,30.898527,121.22367,
28.738742/120.640606,28.738742,120.640606,
31.156928/121.121902,31.156928,121.121902,
25.222206/117.086322,25.222206,117.086322,
30.957633/121.343012,30.957633,121.343012,
31.137582/121.083916,31.137582,121.083916,
31.00953/121.052076,31.00953,121.052076,
30.941447/121.293964,30.941447,121.293964,
30.975236/121.195313,30.975236,121.195313,
31.109998/121.164842,31.109998,121.164842,
31.236935/121.106513,31.236935,121.106513,
31.119557/121.036331,31.119557,121.036331,
31.012108/121.074488,31.012108,121.074488,
30.858416/121.035215,30.858416,121.035215,
30.874563/121.067902,30.874563,121.067902,
30.831429/121.242309,30.831429,121.242309,
30.900763/121.246509,30.900763,121.246509,
30.87366/121.082631,30.87366,121.082631,
31.15702/121.106352,31.15702,121.106352,
30.993883/121.129758,30.993883,121.129758,
30.837343/121.275733,30.837343,121.275733,
31.184426/121.15811,31.184426,121.15811,
31.073061/120.970637,31.073061,120.970637,
31.144812/121.119606,31.144812,121.119606,
31.176489/121.188906,31.176489,121.188906,
30.990942/121.12541,30.990942,121.12541,
30.810888/121.234763,30.810888,121.234763,
31.109666/121.052906,31.109666,121.052906,
31.098359/121.073778,31.098359,121.073778,
31.068626/121.108326,31.068626,121.108326,
31.042021/121.204506,31.042021,121.204506,
30.89659/121.281933,30.89659,121.281933,
30.88883/121.130607,30.88883,121.130607,
30.773575/121.14093,30.773575,121.14093,
31.041762/120.928733,31.041762,120.928733,
31.081917/121.062248,31.081917,121.062248,
30.866289/121.103027,30.866289,121.103027,
30.829105/121.180127,30.829105,121.180127,
30.891157/121.186557,30.891157,121.186557,
30.889225/121.177092,30.889225,121.177092,
30.900013/121.049649,30.900013,121.049649,
31.143835/120.935676,31.143835,120.935676,
31.206089/121.105074,31.206089,121.105074,
31.004198/121.067198,31.004198,121.067198,
31.05815/120.970188,31.05815,120.970188,
30.945561/121.150834,30.945561,121.150834,
30.983162/121.054057,30.983162,121.054057,
31.057607/121.030715,31.057607,121.030715,
30.909885/121.195459,30.909885,121.195459,
30.80226/121.311879,30.80226,121.311879,
30.90618/121.178287,30.90618,121.178287,
30.99055/121.126163,30.99055,121.126163,
31.010877/121.240031,31.010877,121.240031,
31.152177/121.172752,31.152177,121.172752,
31.175318/121.181299,31.175318,121.181299,
31.132833/121.17281,31.132833,121.17281,
31.185228/121.1697,31.185228,121.1697,
31.188696/121.181232,31.188696,121.181232,
31.152749/121.182589,31.152749,121.182589,
31.101299/120.918138,31.101299,120.918138,
31.046753/121.062205,31.046753,121.062205,
30.94602/121.106186,30.94602,121.106186,
31.126748/120.934108,31.126748,120.934108,
30.802409/121.205114,30.802409,121.205114,
30.918284/120.995861,30.918284,120.995861,
31.317987/120.619907,31.317987,120.619907,
31.19706/121.095538,31.19706,121.095538,
31.092058/121.38753,31.092058,121.38753,
30.956973/121.097333,30.956973,121.097333,
30.943662/121.155665,30.943662,121.155665,
30.8406/121.251681,30.8406,121.251681,
31.150797/121.728702,31.150797,121.728702,